entity_id,class_name,class_qcode
Q6696881,human,Q5
Q3929368,human,Q5
Q22006984,human,Q5
Q15365184,human,Q5
Q4696050,human,Q5
Q6748716,human,Q5
Q4094765,human,Q5
Q16733204,human,Q5
Q7086189,human,Q5
Q931779,human,Q5
Q24951275,human,Q5
Q5930743,human,Q5
Q453347,human,Q5
Q553238,human,Q5
Q7174142,human,Q5
Q5901813,human,Q5
Q533482,human,Q5
Q8051161,human,Q5
Q7693677,human,Q5
Q18688098,human,Q5
Q5364944,human,Q5
Q20436216,human,Q5
Q7619124,human,Q5
Q3695609,human,Q5
Q2061588,human,Q5
Q7929139,human,Q5
Q12150226,human,Q5
Q4798562,human,Q5
Q4707567,human,Q5
Q17106576,human,Q5
Q12583141,human,Q5
Q3568519,human,Q5
Q6289300,human,Q5
Q7528986,human,Q5
Q23621913,human,Q5
Q8068710,human,Q5
Q1980396,human,Q5
Q112505,human,Q5
Q18216805,human,Q5
Q1147798,human,Q5
Q1686935,human,Q5
Q19666663,human,Q5
Q15434725,human,Q5
Q19276839,human,Q5
Q42501328,human,Q5
Q4179650,human,Q5
Q2605514,human,Q5
Q7164363,human,Q5
Q7976380,human,Q5
Q84380,human,Q5
Q2722610,human,Q5
Q5082176,human,Q5
Q3845041,human,Q5
Q28543134,human,Q5
Q19664737,human,Q5
Q18342313,human,Q5
Q6182540,human,Q5
Q5684338,human,Q5
Q6384910,human,Q5
Q39146567,human,Q5
Q28816237,human,Q5
Q19665021,human,Q5
Q1155343,human,Q5
Q7407305,human,Q5
Q5236226,human,Q5
Q7441249,human,Q5
Q26210729,human,Q5
Q17146628,human,Q5
Q16834690,human,Q5
Q5231898,human,Q5
Q16729067,human,Q5
Q4914479,human,Q5
Q22092131,human,Q5
Q27058391,human,Q5
Q761386,human,Q5
Q7850622,human,Q5
Q7370135,human,Q5
Q881536,human,Q5
Q5552395,human,Q5
Q7787949,human,Q5
Q6829957,human,Q5
Q4209321,human,Q5
Q5342490,human,Q5
Q446325,human,Q5
Q7817940,human,Q5
Q7360369,human,Q5
Q5485676,human,Q5
Q15729758,human,Q5
Q7391957,human,Q5
Q5337131,human,Q5
Q6371727,human,Q5
Q4081464,human,Q5
Q5215826,human,Q5
Q6227840,human,Q5
Q16065443,human,Q5
Q2953924,human,Q5
Q16005859,human,Q5
Q883783,human,Q5
Q39703358,human,Q5
Q1903092,human,Q5
Q20744938,human,Q5
Q8020658,human,Q5
Q5743998,human,Q5
Q31319894,human,Q5
Q626099,human,Q5
Q26324077,human,Q5
Q27924730,human,Q5
Q23882901,human,Q5
Q432402,human,Q5
Q116221,human,Q5
Q71418,human,Q5
Q553564,human,Q5
Q877336,human,Q5
Q1702755,human,Q5
Q6300907,human,Q5
Q7681437,human,Q5
Q63181,human,Q5
Q2956291,human,Q5
Q3340266,human,Q5
Q5345269,human,Q5
Q15674501,human,Q5
Q4721164,human,Q5
Q5511384,human,Q5
Q6757099,human,Q5
Q888086,human,Q5
Q1141130,human,Q5
Q2029705,human,Q5
Q620676,human,Q5
Q5302028,human,Q5
Q34817785,human,Q5
Q29448005,human,Q5
Q5111225,human,Q5
Q6120456,human,Q5
Q10492080,human,Q5
Q16137946,human,Q5
Q17382387,human,Q5
Q1658509,human,Q5
Q27178333,human,Q5
Q14459429,human,Q5
Q3275335,human,Q5
Q6775684,human,Q5
Q346665,human,Q5
Q5276814,human,Q5
Q22017697,human,Q5
Q6222395,human,Q5
Q42633709,human,Q5
Q7086539,human,Q5
Q5335926,human,Q5
Q21621174,human,Q5
Q26702330,human,Q5
Q6255013,human,Q5
Q6536008,human,Q5
Q257770,human,Q5
Q7313575,human,Q5
Q7347608,human,Q5
Q7685767,human,Q5
Q2221070,human,Q5
Q7117382,human,Q5
Q4470040,human,Q5
Q8004765,human,Q5
Q6756644,human,Q5
Q234134,human,Q5
Q4666192,human,Q5
Q4694233,human,Q5
Q2693088,human,Q5
Q5366608,human,Q5
Q144509,human,Q5
Q716515,human,Q5
Q5078065,human,Q5
Q4715416,human,Q5
Q8070804,human,Q5
Q7794980,human,Q5
Q7359075,human,Q5
Q7495859,human,Q5
Q7970286,human,Q5
Q15998155,human,Q5
Q125102,human,Q5
Q2327000,human,Q5
Q27452318,human,Q5
Q428450,human,Q5
Q7029084,human,Q5
Q7819100,human,Q5
Q87092,human,Q5
Q7047539,human,Q5
Q26911624,human,Q5
Q19518064,human,Q5
Q7324926,human,Q5
Q16729489,human,Q5
Q6221993,human,Q5
Q1112239,human,Q5
Q27063773,human,Q5
Q926261,human,Q5
Q1510139,human,Q5
Q7913664,human,Q5
Q57187,human,Q5
Q1710099,human,Q5
Q1851361,human,Q5
Q1674146,human,Q5
Q4491311,human,Q5
Q16750206,human,Q5
Q39189501,human,Q5
Q7159961,human,Q5
Q16105956,human,Q5
Q2483123,human,Q5
Q5393827,human,Q5
Q5930364,human,Q5
Q7943402,human,Q5
Q25189991,human,Q5
Q5298337,human,Q5
Q20354045,human,Q5
Q16123467,human,Q5
Q962047,human,Q5
Q21063525,human,Q5
Q2218781,human,Q5
Q4689392,human,Q5
Q1718883,human,Q5
Q7420154,human,Q5
Q1713981,human,Q5
Q492186,human,Q5
