entity_id,class_qcode,class_name
Q6696881,Q5,human
Q3929368,Q5,human
Q22006984,Q5,human
Q15365184,Q5,human
Q4696050,Q5,human
Q6748716,Q5,human
Q4094765,Q5,human
Q16733204,Q5,human
Q7086189,Q5,human
Q931779,Q5,human
Q24951275,Q5,human
Q5930743,Q5,human
Q453347,Q5,human
Q553238,Q5,human
Q7174142,Q5,human
Q5901813,Q5,human
Q533482,Q5,human
Q8051161,Q5,human
Q7693677,Q5,human
Q18688098,Q5,human
Q5364944,Q5,human
Q20436216,Q5,human
Q7619124,Q5,human
Q3695609,Q5,human
Q2061588,Q5,human
Q7929139,Q5,human
Q12150226,Q5,human
Q4798562,Q5,human
Q4707567,Q5,human
Q17106576,Q5,human
Q12583141,Q5,human
Q3568519,Q5,human
Q6289300,Q5,human
Q7528986,Q5,human
Q23621913,Q5,human
Q8068710,Q5,human
Q1980396,Q5,human
Q112505,Q5,human
Q18216805,Q5,human
Q1147798,Q5,human
Q1686935,Q5,human
Q19666663,Q5,human
Q15434725,Q5,human
Q19276839,Q5,human
Q42501328,Q5,human
Q4179650,Q5,human
Q2605514,Q5,human
Q7164363,Q5,human
Q7976380,Q5,human
Q84380,Q5,human
Q2722610,Q5,human
Q5082176,Q5,human
Q3845041,Q5,human
Q28543134,Q5,human
Q19664737,Q5,human
Q18342313,Q5,human
Q6182540,Q5,human
Q5684338,Q5,human
Q6384910,Q5,human
Q39146567,Q5,human
Q28816237,Q5,human
Q19665021,Q5,human
Q1155343,Q5,human
Q7407305,Q5,human
Q5236226,Q5,human
Q7441249,Q5,human
Q26210729,Q5,human
Q17146628,Q5,human
Q16834690,Q5,human
Q5231898,Q5,human
Q16729067,Q5,human
Q4914479,Q5,human
Q22092131,Q5,human
Q27058391,Q5,human
Q761386,Q5,human
Q7850622,Q5,human
Q7370135,Q5,human
Q881536,Q5,human
Q5552395,Q5,human
Q7787949,Q5,human
Q6829957,Q5,human
Q4209321,Q5,human
Q5342490,Q5,human
Q446325,Q5,human
Q7817940,Q5,human
Q7360369,Q5,human
Q5485676,Q5,human
Q15729758,Q5,human
Q7391957,Q5,human
Q5337131,Q5,human
